Catálogo UNICO
Homologación entre los catálogos de SESA y OCRA


ID OCRA	ID SESA	Marca	Descripción 2014	Segmento, Clase	Clasificación
211	70	FORD	ESCORT	COMPACTO	AUTOMOVILES
212	48	LINCOLN	MARK VIIII	LUJO	AUTOMOVILES
213	458	FORD	MUSTANG	DEPORTIVO	AUTOMOVILES
214	72	MERCURY	MYSTIQUE	COMPACTO	AUTOMOVILES
215	73	FORD	WINDSTAR	MULTIUSOS	AUTOMOVILES
216	111	FORD	CLUB WAGON PASAJEROS	MULTIUSOS	AUTOMOVILES
217	71	MERCURY	SABLE	LUJO	AUTOMOVILES
218	88	FORD	CONTOUR	COMPACTO	AUTOMOVILES
219	97	FORD	EXPEDITION	MULTIUSOS	AUTOMOVILES
220	109	FORD	FIESTA	SUBCOMPACTO	AUTOMOVILES
221	457	FORD	ECONOLINE PASAJEROS	MULTIUSOS	AUTOMOVILES
222	7052	FORD	LOBO, KING RANCH PICK UP	2	COMERCIAL
224	7048	FORD	RANGER PICK UP	1	COMERCIAL
226	123	FORD	FOCUS	COMPACTO	AUTOMOVILES
227	162	FORD	CROWN VICTORIA	MULTIUSOS	AUTOMOVILES
230	134	FORD	ESCAPE	MULTIUSOS	AUTOMOVILES
231	139	FORD	EXCURSION	MULTIUSOS	AUTOMOVILES
232	7047	FORD	COURIER PICK UP	1	COMERCIAL
234	7053	FORD	HARLEY DAVIDSON PICK UP	2	COMERCIAL
237	142	FORD	MONDEO	COMPACTO	AUTOMOVILES
238	151	FORD	KA	SUBCOMPACTO	AUTOMOVILES
239	150	FORD	IKON	SUBCOMPACTO	AUTOMOVILES
240	193	FORD	ECOSPORT	MULTIUSOS	AUTOMOVILES
241	219	FORD	FREESTAR	MULTIUSOS	AUTOMOVILES
243	297	FORD	EDGE	MULTIUSOS	AUTOMOVILES
244	253	FORD	FUSION	LUJO	AUTOMOVILES
245	225	FORD	FIVE HUNDRED	LUJO	AUTOMOVILES
247	15	RENAULT	RENAULT MODELO 86 Y ANTERIORES	SUBCOMPACTO	AUTOMOVILES
257	141	RENAULT	SCENIC	COMPACTO	AUTOMOVILES
258	148	RENAULT	MEGANE	COMPACTO	AUTOMOVILES
259	169	RENAULT	CLIO	SUBCOMPACTO	AUTOMOVILES
260	171	RENAULT	LAGUNA	LUJO	AUTOMOVILES
261	475	RENAULT	KANGOO PASAJEROS	MULTIUSOS	AUTOMOVILES
262	7587	RENAULT	TRAFIC CARGA	1	COMERCIAL
266	14	VAM	V. A. M.	COMPACTO	AUTOMOVILES
277	17	VOLKSWAGEN	CARIBE, BRASILIA, SAFARI	SUBCOMPACTO	AUTOMOVILES
278	16	VOLKSWAGEN	SEDAN	SUBCOMPACTO	AUTOMOVILES
279	18	VOLKSWAGEN	COMBI	MULTIUSOS	AUTOMOVILES
281	7115	VOLKSWAGEN	COMBI PANEL	1	COMERCIAL
284	19	VOLKSWAGEN	ATLANTIC	SUBCOMPACTO	AUTOMOVILES
285	20	VOLKSWAGEN	CORSAR, VARIANT	COMPACTO	AUTOMOVILES
287	27	VOLKSWAGEN	GOLF	SUBCOMPACTO	AUTOMOVILES
288	28	VOLKSWAGEN	JETTA/CLASICO	COMPACTO	AUTOMOVILES
289	53	VOLKSWAGEN	GOLF	SUBCOMPACTO	AUTOMOVILES
290	54	VOLKSWAGEN	JETTA/CLASICO	COMPACTO	AUTOMOVILES
291	51	VOLKSWAGEN	PASSAT	LUJO	AUTOMOVILES
292	74	VOLKSWAGEN	DERBY	SUBCOMPACTO	AUTOMOVILES
296	112	VOLKSWAGEN	POINTER	SUBCOMPACTO	AUTOMOVILES
297	7113	VOLKSWAGEN	POINTER PICK UP	1	COMERCIAL
299	125	VOLKSWAGEN	GOLF	SUBCOMPACTO	AUTOMOVILES
300	124	VOLKSWAGEN	JETTA/CLASICO	COMPACTO	AUTOMOVILES
